scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.082643315,0.113623746,0.3542273,-0.0030043805,9.978879,-8.3534975,0.17541449
0.3102202,0.28110212,0.7630782,-0.0028500883,9.989072,-8.36359,-0.020962154
0.29480278,-0.28216514,0.8970864,-0.00286322,10.002315,-8.376816,-0.1322083
-0.82664925,0.5460589,0.87957484,-0.0045280764,10.000758,-8.374595,-0.008439317
-0.049329255,-0.43873796,0.079368465,-0.0027177436,10.0027075,-8.377633,0.08389079
0.0174408,-0.6121181,0.6608435,-0.003043103,10.00088,-8.375158,-0.021093907
-0.2904873,-0.6742742,0.9255748,-0.0028053438,10.004049,-8.378746,0.18522854
-0.6621347,0.57231325,0.82525337,-0.0031666337,10.00398,-8.378722,0.091556385
-0.08492004,0.7169456,0.7981758,-0.0029200455,10.0007305,-8.375601,0.070131354
0.42499733,-0.0661783,0.8347778,-0.0028219959,9.998348,-8.372934,-0.10964367
-0.76583004,0.2017997,0.96356523,-0.003029407,10.008287,-8.383084,0.3500937
-0.4322726,0.4440739,0.46676755,-0.0032921107,10.010885,-8.385583,0.012893373
-0.15053688,0.13386557,0.9766593,-0.0029778825,9.990986,-8.365467,0.094058506
-0.30955407,0.17793263,0.6953945,-0.0029150052,9.989332,-8.364,0.2503788
0.47885808,-0.5823851,0.027685339,-0.0027534338,10.006288,-8.380898,-0.12722068
0.5194595,-0.55174947,0.46530086,-0.0027067428,10.002971,-8.377466,-0.14979082
-0.29966584,0.08141737,0.5296711,-0.0029204087,9.993372,-8.368059,0.3052774
-0.108510405,-0.3597628,0.80735874,-0.0028506713,9.999983,-8.374584,0.010827357
-0.028071009,-0.14921698,0.05185495,-0.0030721305,9.996756,-8.371489,0.11607845
0.13535817,-0.20745604,0.3299049,-0.00299945,9.993842,-8.368341,-0.067635246
-0.2632361,0.01312015,0.99290574,-0.0030479142,9.991125,-8.365563,0.14577976
0.18433177,-0.17269976,0.44421744,-0.002967651,9.994515,-8.368994,-0.07397115
0.89991546,-0.0012339727,0.8241156,-0.002818373,10.000087,-8.374565,-0.108096525
-0.5806356,-0.15025376,0.92704153,-0.0030267434,10.01638,-8.390971,0.36451477
